long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,1980,Hist,historical,sc1,0,0,84,5,11,7,,,,,,13.79,2.69,13.79,0.9648352,23.15924,23.15924,37.05,,,,,
-110.0472,37.60413,1980,Hist,historical,sc1,0,0,84,5,11,7,,,,,,13.79,2.69,2.69,0.9648352,23.15924,0.9648352,37.05,,,,,
-110.0472,37.60413,1980,Hist,historical,sc1,0,0,84,5,11,7,,,,,,13.79,2.69,13.79,0.9648352,23.15924,0.9648352,37.05,,,,,
-110.0472,37.60413,1980,Hist,historical,sc1,0,0,84,5,11,7,,,,,,13.79,2.69,2.69,0.9648352,23.15924,23.15924,37.05,,,,,
-110.0472,37.60413,1980,Hist,historical,sc1,0,0,84,5,11,7,0.0,1.55980740209263,36.16,75.0,0.032114067129453,,,,,,,,-12.45,0.113446870121374,0.0968307000817686,0.0418759016244813,0.0522975530246468
-110.0472,37.60413,1981,Hist,historical,sc1,0,0,84,5,11,7,,,,,,2.25,9.39,11.75,3.334444,23.27065,11.58132,37.55,,,,,
-110.0472,37.60413,1981,Hist,historical,sc1,0,0,84,5,11,7,0.0,5.04287767405195,36.08,79.0,0.0336629892919844,,,,,,,,-9.35,0.0493818429749227,0.0607271763138207,0.042638677058618,0.0936706801337167
-110.0472,37.60413,1982,Hist,historical,sc1,0,0,84,5,11,7,,,,,,4.12,9.5,5.1,-0.01555556,22.05707,9.472283,36.65,,,,,
-110.0472,37.60413,1982,Hist,historical,sc1,0,0,84,5,11,7,0.0,4.52763633268981,34.99,83.0,0.199382236644228,,,,,,,,-16.55,0.10923419815776,0.074816656350205,0.0456102614659084,0.067789179449076
-110.0472,37.60413,1983,Hist,historical,sc1,0,0,84,5,11,7,,,,,,7.09,10.22,,0.4094444,21.32826,,34.55,,,,,
